anio_registro,millas_recorridas,precio_vehiculo,num_asientos,num_puertas,complejidad_reparacion,costo_reparacion,horas_reparacion,marca2_Audi,marca2_BMW,marca2_Citroen,marca2_Ford,marca2_Nissan,marca2_OTROS,marca2_Peugeot,marca2_Toyota,marca2_Vauxhall,marca2_Volkswagen
2014.0,122000.0,9000.0,4.0,2.0,1,10.9,0.5,1,0,0,0,0,0,0,0,0,0
2016.0,8828.0,9500.0,5.0,5.0,1,10.95,0.5,0,0,0,0,0,1,0,0,0,0
2004.0,84526.0,2995.0,2.0,2.0,1,99.9,2.0,0,0,0,0,0,1,0,0,0,0
2014.0,16200.0,11994.0,7.0,5.0,2,199.94,4.0,0,0,1,0,0,0,0,0,0,0
2006.0,85338.0,3595.0,5.0,5.0,1,22.157,1.0,1,0,0,0,0,0,0,0,0,0
2005.0,72357.0,1194.0,5.0,3.0,1,10.1194,0.5,0,0,0,1,0,0,0,0,0,0
2013.0,35813.0,13987.0,4.0,2.0,1,46.9935,2.0,1,0,0,0,0,0,0,0,0,0
2014.0,50500.0,5990.0,5.0,5.0,1,359.5,3.0,0,0,0,0,0,0,0,0,1,0
2006.0,98000.0,1495.0,5.0,5.0,1,40.7475,2.0,0,0,0,1,0,0,0,0,0,0
2012.0,58500.0,6250.0,5.0,5.0,1,21.875,1.0,0,0,0,0,0,1,0,0,0,0
2013.0,77200.0,20500.0,5.0,5.0,1,385.0,9.0,0,0,0,0,0,1,0,0,0,0
2016.0,13190.0,11798.0,5.0,5.0,1,275.96000000000004,2.0,0,0,0,0,0,1,0,0,0,0
2018.0,2408.0,16000.0,5.0,5.0,1,128.0,4.0,0,0,0,0,0,1,0,0,0,0
2006.0,53053.0,2490.0,5.0,5.0,1,204.9,9.0,0,0,0,0,1,0,0,0,0,0
2016.0,20250.0,42990.0,5.0,5.0,3,222.99,9.0,0,0,0,0,0,1,0,0,0,0
2014.0,105000.0,5595.0,5.0,5.0,1,25.595,1.0,0,0,0,1,0,0,0,0,0,0
2006.0,77153.0,2695.0,5.0,5.0,1,62.695,3.0,0,0,0,0,0,0,0,0,0,1
2017.0,4254.0,8199.0,5.0,5.0,1,203.98,2.0,0,0,0,0,0,1,0,0,0,0
2007.0,88939.0,3699.0,4.0,2.0,1,22.2194,1.0,0,0,0,1,0,0,0,0,0,0
2010.0,20000.0,1999.0,5.0,5.0,1,199.99,9.0,0,0,0,0,0,1,0,0,0,0
2010.0,90000.0,2600.0,7.0,5.0,1,333.7554599133764,2.0,0,0,0,0,0,0,0,0,1,0
2015.0,74000.0,9999.0,5.0,4.0,1,29.999,1.0,0,0,0,0,0,0,0,0,0,1
2005.0,82000.0,1595.0,5.0,3.0,1,55.95,2.0,0,0,0,1,0,0,0,0,0,0
2007.0,104000.0,1990.0,5.0,5.0,1,79.80000000000001,2.0,0,0,0,1,0,0,0,0,0,0
2011.0,73988.0,8000.0,5.0,5.0,1,120.0,2.0,0,0,0,0,0,1,0,0,0,0
2016.0,45045.0,12400.0,5.0,5.0,2,204.0,4.0,0,0,0,0,0,1,0,0,0,0
2009.0,114000.0,1650.0,7.0,5.0,2,40.99,2.0,0,0,1,0,0,0,0,0,0,0
2015.0,14514.0,9490.0,5.0,5.0,1,25.694,1.0,0,0,0,0,0,1,0,0,0,0
2015.0,90000.0,8980.0,5.0,5.0,1,219.6,2.0,1,0,0,0,0,0,0,0,0,0
2008.0,94927.0,2195.0,5.0,3.0,1,179.755,8.0,0,0,0,0,0,0,0,0,1,0
2019.0,14103.0,12210.0,5.0,5.0,2,324.20000000000005,4.0,0,0,1,0,0,0,0,0,0,0
2017.0,3860.0,19999.0,5.0,5.0,1,39.999,1.0,0,1,0,0,0,0,0,0,0,0
2016.0,29000.0,12500.0,5.0,5.0,2,51.25,2.0,0,0,0,0,0,1,0,0,0,0
2014.0,100000.0,1775.0,5.0,4.0,1,197.75,9.0,0,0,0,0,0,1,0,0,0,0
2015.0,8500.0,6724.0,4.0,3.0,1,43.362,2.0,0,0,0,0,0,1,0,0,0,0
2015.0,35400.0,22950.0,5.0,5.0,1,26.885,1.0,0,0,0,0,0,1,0,0,0,0
2015.0,30000.0,28500.0,5.0,4.0,1,54.25,2.0,0,0,0,0,0,1,0,0,0,0
2018.0,3000.0,27500.0,5.0,5.0,1,44.75,1.0,1,0,0,0,0,0,0,0,0,0
2017.0,22405.0,12982.0,5.0,5.0,1,276.838,8.0,0,0,0,1,0,0,0,0,0,0
2012.0,42350.0,9000.0,5.0,4.0,3,155.96699999999998,6.0,0,0,0,0,0,1,0,0,0,0
2017.0,13000.0,17500.0,5.0,5.0,1,317.5,8.0,0,0,0,0,0,0,0,1,0,0
2014.0,57700.0,8995.0,5.0,4.0,1,64.975,1.0,0,0,0,0,0,0,1,0,0,0
2019.0,6671.0,52150.0,5.0,5.0,3,641.5,6.0,0,0,0,0,0,1,0,0,0,0
2015.0,27483.0,9490.0,5.0,5.0,1,534.5,3.0,0,0,0,0,1,0,0,0,0,0
2007.0,139000.0,1500.0,5.0,5.0,1,135.0,3.0,0,0,0,1,0,0,0,0,0,0
2017.0,17468.0,21900.0,5.0,4.0,3,73.14,3.0,0,0,0,0,0,1,0,0,0,0
2017.0,6571.0,8489.0,4.0,5.0,1,105.467,4.0,0,0,0,0,0,0,1,0,0,0
2012.0,65000.0,8500.0,7.0,5.0,1,210.0,2.0,0,0,0,0,0,1,0,0,0,0
2014.0,52000.0,7450.0,5.0,5.0,1,114.5,2.0,0,0,0,0,0,1,0,0,0,0
2004.0,99000.0,600.0,2.0,2.0,1,46.0,2.0,0,0,0,1,0,0,0,0,0,0
2014.0,50.0,19000.0,5.0,5.0,3,500.0,6.0,0,0,0,0,0,1,0,0,0,0
2017.0,4774.0,18788.0,5.0,5.0,1,415.76,2.0,0,1,0,0,0,0,0,0,0,0
2018.0,26.0,40995.0,4.0,5.0,1,60.4975,2.0,1,0,0,0,0,0,0,0,0,0
2013.0,55000.0,7990.0,5.0,5.0,1,199.8,2.0,0,0,0,1,0,0,0,0,0,0
2019.0,41050.0,9490.0,5.0,5.0,2,49.49,2.0,0,0,0,0,0,1,0,0,0,0
2003.0,76310.0,1795.0,5.0,4.0,3,137.95,6.0,0,0,0,0,0,1,0,0,0,0
2013.0,48000.0,5799.0,4.0,3.0,2,195.98,4.0,0,0,1,0,0,0,0,0,0,0
2015.0,14405.0,5490.0,5.0,5.0,1,149.8,2.0,0,0,0,0,0,0,0,0,1,0
2015.0,14624.0,8470.0,5.0,3.0,2,164.7,4.0,0,0,0,0,0,1,0,0,0,0
2006.0,82000.0,2600.0,4.0,5.0,1,66.0,2.0,0,0,0,0,0,1,0,0,0,0
2012.0,33690.0,9000.0,4.0,2.0,3,549.12,24.0,0,0,0,0,0,1,0,0,0,0
2008.0,132000.0,1495.0,5.0,5.0,1,54.95,2.0,0,0,0,0,0,0,1,0,0,0
2011.0,54000.0,3995.0,4.0,3.0,1,219.95,9.0,0,0,0,1,0,0,0,0,0,0
2015.0,22064.0,7995.0,5.0,5.0,1,139.95,3.0,0,0,0,0,1,0,0,0,0,0
2004.0,124000.0,895.0,5.0,3.0,1,104.75,3.0,0,0,0,0,1,0,0,0,0,0
2014.0,17000.0,19995.0,4.0,4.0,1,259.95000000000005,3.0,0,0,0,0,0,1,0,0,0,0
2009.0,100000.0,5480.0,5.0,5.0,1,42.74,2.0,0,0,0,0,1,0,0,0,0,0
2006.0,89500.0,1190.0,5.0,5.0,1,63.8,2.0,0,0,0,0,0,0,0,0,1,0
2010.0,44000.0,3495.0,4.0,5.0,1,74.95,2.0,0,0,0,0,1,0,0,0,0,0
2005.0,75368.0,495.0,5.0,3.0,1,40.2475,2.0,0,0,0,0,0,1,0,0,0,0
2012.0,74000.0,15495.0,5.0,5.0,1,29.297,1.0,0,1,0,0,0,0,0,0,0,0
2005.0,102000.0,895.0,5.0,3.0,1,20.537,1.0,0,0,0,0,0,1,0,0,0,0
2014.0,91421.0,9770.0,7.0,5.0,1,29.77,1.0,0,0,0,1,0,0,0,0,0,0
2009.0,81984.0,5795.0,5.0,5.0,1,97.95,2.0,0,0,0,0,0,1,0,0,0,0
2018.0,1777.0,26995.0,5.0,5.0,1,28.0985,1.0,0,0,0,0,1,0,0,0,0,0
2009.0,53000.0,10990.0,5.0,5.0,1,30.99,1.0,0,0,0,0,0,1,0,0,0,0
2016.0,3307.0,21495.0,5.0,5.0,1,50.7475,2.0,0,0,0,0,0,1,0,0,0,0
2007.0,68142.0,6000.0,5.0,3.0,1,50.0,1.0,0,0,0,1,0,0,0,0,0,0
2012.0,86150.0,11420.0,5.0,4.0,1,45.71,2.0,1,0,0,0,0,0,0,0,0,0
2016.0,27256.0,7650.0,5.0,5.0,1,193.0,2.0,0,0,0,0,0,0,1,0,0,0
2015.0,81204.0,7270.0,5.0,5.0,1,43.635,2.0,0,0,0,0,0,0,0,0,1,0
2009.0,70000.0,7499.0,5.0,4.0,1,10.7499,0.5,0,0,0,0,0,0,0,0,0,1
2015.0,20000.0,10495.0,4.0,3.0,1,284.95,9.0,0,0,0,0,0,0,0,0,0,1
2010.0,94812.0,12995.0,5.0,5.0,1,78.985,2.0,0,0,0,0,0,1,0,0,0,0
2016.0,19000.0,34480.0,7.0,5.0,1,54.48,1.0,0,1,0,0,0,0,0,0,0,0
2012.0,29000.0,9995.0,5.0,5.0,1,239.9,2.0,0,0,0,0,1,0,0,0,0,0
2019.0,5162.0,8890.0,5.0,5.0,1,106.67,4.0,0,0,0,1,0,0,0,0,0,0
2015.0,76786.0,10800.0,5.0,4.0,1,288.0,9.0,0,0,0,0,0,0,0,0,0,1
2009.0,63000.0,6985.0,5.0,5.0,2,382.865,16.0,0,0,0,0,0,1,0,0,0,0
2005.0,56000.0,3998.0,5.0,5.0,1,23.998,1.0,0,0,0,0,0,1,0,0,0,0
2017.0,47905.0,14470.0,5.0,4.0,1,324.70000000000005,9.0,0,0,0,0,0,0,0,0,0,1
2018.0,100.0,9991.0,5.0,3.0,1,239.82,2.0,0,0,0,0,0,0,0,0,1,0
2015.0,61393.0,14090.0,5.0,5.0,1,74.09,3.0,0,0,0,0,0,0,0,0,0,1
2008.0,116000.0,3095.0,7.0,5.0,1,90.95,3.0,0,0,0,0,0,0,0,0,0,1
2008.0,129380.0,2275.0,5.0,4.0,3,30.2275,1.5,0,0,0,0,0,1,0,0,0,0
2016.0,6367.0,9500.0,5.0,5.0,1,155.0,3.0,0,0,0,1,0,0,0,0,0,0
2018.0,1000.0,27000.0,5.0,5.0,1,310.0,2.0,1,0,0,0,0,0,0,0,0,0
2019.0,17266.0,14489.0,5.0,5.0,1,329.78000000000003,2.0,0,0,0,1,0,0,0,0,0,0
2013.0,32975.0,6489.0,5.0,5.0,1,22.978,0.5,0,0,0,0,0,1,0,0,0,0
2013.0,32000.0,8689.0,5.0,5.0,1,25.2134,1.0,0,0,0,0,1,0,0,0,0,0
2011.0,99000.0,5445.0,5.0,5.0,1,209.005,8.0,0,0,0,0,0,0,0,0,0,1
2005.0,100000.0,2995.0,5.0,5.0,1,209.75,3.0,0,0,0,1,0,0,0,0,0,0
2010.0,66000.0,26495.0,4.0,5.0,3,83.8455,3.0,0,0,0,0,0,1,0,0,0,0
2009.0,57110.0,19995.0,2.0,2.0,3,519.9000000000001,6.0,0,0,0,0,0,1,0,0,0,0
2005.0,146000.0,2000.0,5.0,5.0,1,80.0,3.0,1,0,0,0,0,0,0,0,0,0
2005.0,154000.0,1990.0,5.0,5.0,1,10.199,0.5,0,1,0,0,0,0,0,0,0,0
2017.0,13964.0,12870.0,7.0,5.0,1,297.4,2.0,0,0,0,0,0,0,0,0,1,0
2019.0,14708.0,25500.0,5.0,5.0,3,196.5,6.0,0,0,0,0,0,1,0,0,0,0
2003.0,150000.0,975.0,4.0,3.0,2,89.75,4.0,0,0,0,0,0,1,0,0,0,0
2002.0,103893.0,695.0,5.0,5.0,1,94.75,3.0,0,0,0,0,0,0,0,0,1,0
2017.0,28286.0,20480.0,5.0,5.0,1,244.8,2.0,0,1,0,0,0,0,0,0,0,0
2013.0,36000.0,6482.0,7.0,5.0,1,43.241,2.0,0,0,0,0,0,0,0,0,1,0
2011.0,127994.0,4800.0,5.0,5.0,1,300.0,3.0,0,0,0,0,1,0,0,0,0,0
2009.0,89459.0,5195.0,5.0,5.0,1,25.195,1.0,0,0,0,0,1,0,0,0,0,0
2005.0,94399.0,1290.0,5.0,4.0,1,65.8,2.0,0,0,0,0,0,1,0,0,0,0
2016.0,4202.0,9000.0,4.0,3.0,2,387.84,4.0,0,0,0,0,0,1,0,0,0,0
2016.0,19600.0,9495.0,5.0,5.0,1,44.7475,2.0,0,0,0,0,0,0,1,0,0,0
2013.0,142000.0,5989.0,5.0,5.0,1,99.89,2.0,0,0,0,0,0,1,0,0,0,0
2016.0,23975.0,6500.0,5.0,5.0,1,385.0,3.0,0,0,0,0,0,0,0,0,1,0
2014.0,42262.0,28499.0,7.0,5.0,1,416.491,8.0,1,0,0,0,0,0,0,0,0,0
2003.0,103000.0,3199.0,5.0,4.0,1,41.5995,2.0,0,1,0,0,0,0,0,0,0,0
2013.0,60600.0,5995.0,5.0,5.0,1,239.95,9.0,0,0,0,0,0,1,0,0,0,0
2014.0,119448.0,5490.0,5.0,5.0,1,114.9,3.0,0,0,0,1,0,0,0,0,0,0
2008.0,137000.0,4875.0,4.0,2.0,1,44.875,2.0,1,0,0,0,0,0,0,0,0,0
2002.0,113000.0,4750.0,2.0,2.0,3,64.275,3.0,0,0,0,0,0,1,0,0,0,0
2006.0,123000.0,2245.0,5.0,4.0,1,10.2245,0.5,0,0,0,0,0,1,0,0,0,0
2019.0,9615.0,26077.0,5.0,5.0,1,561.54,2.0,0,1,0,0,0,0,0,0,0,0
2014.0,32000.0,4495.0,5.0,3.0,2,41.3485,2.0,0,0,1,0,0,0,0,0,0,0
2014.0,20757.0,16989.0,4.0,5.0,1,130.96699999999998,4.0,0,1,0,0,0,0,0,0,0,0
2007.0,128000.0,450.0,5.0,3.0,1,49.0,2.0,0,0,0,1,0,0,0,0,0,0
2018.0,50.0,9995.0,5.0,5.0,1,28.9955,1.0,0,0,0,0,0,1,0,0,0,0
2013.0,47000.0,9990.0,5.0,5.0,1,25.994,1.0,0,0,0,0,0,1,0,0,0,0
2016.0,85700.0,9995.0,5.0,5.0,1,49.995000000000005,2.0,0,0,0,0,0,1,0,0,0,0
2009.0,33000.0,9000.0,4.0,2.0,3,599.99,9.0,0,0,0,0,0,1,0,0,0,0
2011.0,80700.0,2290.0,4.0,3.0,1,42.29,2.0,0,0,0,0,0,0,1,0,0,0
2015.0,39264.0,7999.0,5.0,5.0,1,25.998,0.5,0,0,0,0,0,0,1,0,0,0
2014.0,101000.0,3595.0,4.0,3.0,1,75.95,2.0,0,0,0,0,0,0,0,0,0,1
2013.0,81388.0,5600.0,5.0,5.0,1,99.2,3.0,0,0,0,1,0,0,0,0,0,0
2011.0,102000.0,6100.0,5.0,5.0,1,22.200000000000003,0.5,0,0,0,0,1,0,0,0,0,0
2006.0,72223.0,2295.0,5.0,5.0,2,41.377,2.0,0,0,1,0,0,0,0,0,0,0
2002.0,149000.0,3495.0,5.0,5.0,3,574.95,27.0,0,0,0,0,0,1,0,0,0,0
2019.0,8996.0,21500.0,5.0,5.0,1,50.75,2.0,0,1,0,0,0,0,0,0,0,0
2014.0,28545.0,7000.0,5.0,5.0,1,250.0,9.0,0,0,0,0,0,1,0,0,0,0
2009.0,114812.0,2995.0,5.0,5.0,1,20.8985,1.0,0,0,0,0,0,0,1,0,0,0
2017.0,7166.0,35950.0,5.0,5.0,1,30.785,1.0,0,0,0,0,0,1,0,0,0,0
2015.0,40000.0,12995.0,5.0,5.0,1,189.95,3.0,0,0,0,0,0,1,0,0,0,0
2008.0,80000.0,3475.0,5.0,5.0,2,81.7375,4.0,0,0,0,0,0,1,0,0,0,0
2017.0,18325.0,37985.0,5.0,5.0,3,559.85,9.0,0,0,0,0,0,1,0,0,0,0
2015.0,40764.0,13129.0,5.0,5.0,1,311.29,9.0,0,0,0,0,0,1,0,0,0,0
2007.0,63984.0,1291.0,5.0,3.0,1,10.1291,0.5,0,0,0,1,0,0,0,0,0,0
2015.0,20800.0,29975.0,5.0,4.0,4,539.75,12.0,0,0,0,0,0,1,0,0,0,0
2019.0,14185.0,21750.0,4.0,2.0,2,337.5,6.0,0,0,0,0,0,1,0,0,0,0
2012.0,67000.0,8250.0,5.0,5.0,1,24.95,1.0,0,0,0,0,0,1,0,0,0,0
2010.0,65000.0,11000.0,5.0,5.0,3,71.0,3.0,0,0,0,0,0,1,0,0,0,0
2011.0,105000.0,2970.0,5.0,5.0,1,99.4,2.0,0,0,0,1,0,0,0,0,0,0
2015.0,36000.0,8479.0,5.0,5.0,1,483.9500000000001,3.0,0,0,0,0,0,1,0,0,0,0
2006.0,105000.0,1500.0,5.0,5.0,1,10.15,0.5,0,0,0,1,0,0,0,0,0,0
2017.0,4624.0,9690.0,5.0,5.0,1,29.69,1.0,0,0,0,1,0,0,0,0,0,0
2007.0,50000.0,2499.0,5.0,5.0,2,104.99,4.0,0,0,0,0,0,1,0,0,0,0
2008.0,71000.0,5495.0,5.0,5.0,1,114.95,3.0,0,0,0,0,1,0,0,0,0,0
2016.0,10245.0,18195.0,5.0,5.0,1,361.9500000000001,9.0,0,0,0,0,0,1,0,0,0,0
2015.0,38117.0,15499.0,5.0,5.0,1,47.7495,2.0,1,0,0,0,0,0,0,0,0,0
2015.0,30000.0,12245.0,5.0,5.0,1,302.45,9.0,0,0,0,0,0,1,0,0,0,0
2007.0,70047.0,2295.0,5.0,5.0,1,202.95,9.0,0,0,0,1,0,0,0,0,0,0
2010.0,89765.0,2995.0,5.0,5.0,2,109.95,4.0,0,0,1,0,0,0,0,0,0,0
2010.0,34080.0,4395.0,5.0,3.0,1,18.79,0.5,0,0,0,1,0,0,0,0,0,0
2008.0,79000.0,2295.0,5.0,5.0,1,85.9,2.0,0,0,0,1,0,0,0,0,0,0
2013.0,44734.0,17795.0,7.0,5.0,3,357.95000000000005,9.0,0,0,0,0,0,1,0,0,0,0
2010.0,24250.0,9995.0,5.0,5.0,1,239.9,2.0,0,0,0,0,0,1,0,0,0,0
2005.0,98000.0,9500.0,5.0,5.0,3,310.0,6.0,0,0,0,0,0,1,0,0,0,0
2008.0,111000.0,1395.0,5.0,5.0,1,67.9,2.0,0,0,0,0,0,1,0,0,0,0
2005.0,152000.0,1550.0,5.0,4.0,1,20.93,1.0,0,1,0,0,0,0,0,0,0,0
2017.0,10706.0,40489.0,5.0,5.0,1,32.1467,1.0,0,0,0,0,0,1,0,0,0,0
2017.0,14748.0,17698.0,7.0,5.0,2,433.96,4.0,0,0,0,0,0,1,0,0,0,0
2017.0,10000.0,9948.0,5.0,5.0,1,115.93111213699818,88.6539284285923,0,0,0,0,0,1,0,0,0,0
2014.0,29986.0,12995.0,5.0,5.0,2,47.797,2.0,0,0,1,0,0,0,0,0,0,0
2008.0,39000.0,2490.0,5.0,5.0,1,22.49,1.0,0,0,0,0,0,1,0,0,0,0
2011.0,71000.0,5400.0,5.0,4.0,1,10.54,0.5,0,0,0,0,0,0,0,1,0,0
2014.0,29125.0,7195.0,5.0,5.0,1,10.7195,0.5,0,0,0,0,0,0,0,1,0,0
2014.0,34600.0,9000.0,5.0,5.0,1,250.0,2.0,0,0,0,0,1,0,0,0,0,0
2014.0,137000.0,850.0,5.0,5.0,1,68.5,3.0,0,0,0,0,0,1,0,0,0,0
2018.0,111.0,39990.0,5.0,4.0,1,459.9,3.0,0,1,0,0,0,0,0,0,0,0
2015.0,13615.0,9000.0,5.0,5.0,1,569.82,2.0,1,0,0,0,0,0,0,0,0,0
2014.0,58000.0,11000.0,5.0,5.0,1,137.0,3.0,0,0,0,0,0,1,0,0,0,0
2014.0,20130.0,15890.0,5.0,5.0,1,35.89,1.0,0,0,0,0,0,0,0,1,0,0
2006.0,24000.0,18490.0,2.0,2.0,3,295.47,12.0,0,0,0,0,0,1,0,0,0,0
2018.0,1000.0,28999.0,5.0,5.0,1,349.99,3.0,0,0,0,0,0,0,0,1,0,0
2005.0,39000.0,1395.0,4.0,2.0,1,21.395,1.0,0,0,0,0,0,1,0,0,0,0
2009.0,116000.0,2489.0,5.0,5.0,1,41.2445,2.0,0,0,0,1,0,0,0,0,0,0
2003.0,140000.0,700.0,5.0,5.0,1,187.0,9.0,0,0,0,1,0,0,0,0,0,0
2012.0,56551.0,8750.0,5.0,5.0,1,44.375,2.0,1,0,0,0,0,0,0,0,0,0
2011.0,44208.0,18491.0,5.0,4.0,3,364.91,9.0,0,0,0,0,0,1,0,0,0,0
2002.0,53421.0,5495.0,7.0,0.0,1,47.475,1.0,0,0,0,0,0,0,0,1,0,0
2006.0,95000.0,1980.0,5.0,5.0,1,40.99,2.0,0,0,0,0,0,1,0,0,0,0
2011.0,60911.0,8759.0,5.0,5.0,1,28.759,1.0,0,0,0,0,0,1,0,0,0,0
2012.0,34000.0,4495.0,4.0,2.0,1,284.75,3.0,0,0,0,0,0,1,0,0,0,0
2006.0,88000.0,1750.0,5.0,5.0,1,75.0,2.0,0,0,0,1,0,0,0,0,0,0
2016.0,15260.0,9000.0,5.0,4.0,1,24.95,1.0,0,0,0,0,0,1,0,0,0,0
2017.0,15523.0,9000.0,7.0,5.0,1,12.275,0.5,0,0,0,1,0,0,0,0,0,0
2016.0,14279.0,9495.0,4.0,3.0,1,44.7475,2.0,0,0,0,0,0,0,0,0,1,0
2014.0,72000.0,2995.0,5.0,4.0,2,20.2995,1.0,0,0,1,0,0,0,0,0,0,0
2013.0,21052.0,6521.0,5.0,5.0,1,105.21,2.0,0,0,0,0,0,0,1,0,0,0
2011.0,53675.0,4300.0,5.0,5.0,2,84.3,4.0,0,0,0,0,0,1,0,0,0,0
2003.0,95000.0,1190.0,5.0,5.0,1,191.9,9.0,0,0,0,1,0,0,0,0,0,0
2016.0,11593.0,20995.0,5.0,4.0,3,539.9000000000001,6.0,0,0,0,0,0,1,0,0,0,0
2004.0,106000.0,1790.0,5.0,5.0,3,30.179,1.5,0,0,0,0,0,1,0,0,0,0
2013.0,47150.0,4995.0,5.0,3.0,1,22.997,1.0,0,0,0,0,0,0,1,0,0,0
2018.0,650.0,8611.0,5.0,5.0,1,212.22,2.0,0,0,0,1,0,0,0,0,0,0
2013.0,82000.0,9000.0,7.0,5.0,1,240.0,2.0,0,0,0,1,0,0,0,0,0,0
2010.0,16959.0,3495.0,5.0,5.0,1,10.3495,0.5,0,0,0,0,0,0,0,0,1,0
2018.0,2500.0,22995.0,5.0,5.0,2,91.4975,4.0,0,0,0,0,0,1,0,0,0,0
2010.0,92571.0,9995.0,5.0,5.0,3,30.9995,1.5,0,0,0,0,0,1,0,0,0,0
2008.0,126000.0,9000.0,7.0,5.0,3,63.45,3.0,0,0,0,0,0,1,0,0,0,0
2019.0,4078.0,21000.0,5.0,5.0,1,250.0,2.0,1,0,0,0,0,0,0,0,0,0
2014.0,11994.0,9000.0,5.0,3.0,1,143.8,2.0,0,0,0,0,0,0,0,0,1,0
2014.0,23338.0,9995.0,5.0,5.0,3,279.95,9.0,0,0,0,0,0,1,0,0,0,0
2015.0,20291.0,11795.0,5.0,5.0,1,297.95,9.0,0,0,0,0,0,0,1,0,0,0
2010.0,72642.0,5990.0,5.0,5.0,1,159.8,2.0,0,0,0,0,1,0,0,0,0,0
2015.0,23018.0,39891.0,4.0,5.0,3,95.9019,3.0,0,0,0,0,0,1,0,0,0,0
2018.0,10.0,34000.0,5.0,4.0,1,400.0,3.0,1,0,0,0,0,0,0,0,0,0
2006.0,100774.0,3389.0,5.0,5.0,3,30.3389,1.5,0,0,0,0,0,1,0,0,0,0
2014.0,16749.0,16795.0,5.0,5.0,1,90.385,2.0,1,0,0,0,0,0,0,0,0,0
2019.0,15348.0,26014.0,5.0,5.0,1,86.014,3.0,1,0,0,0,0,0,0,0,0,0
2009.0,85000.0,9795.0,5.0,5.0,1,29.795,1.0,0,0,0,0,0,1,0,0,0,0
2006.0,96741.0,6950.0,7.0,5.0,3,123.475,6.0,0,0,0,0,0,1,0,0,0,0
2011.0,78000.0,3495.0,5.0,5.0,1,109.9,2.0,0,0,0,0,0,1,0,0,0,0
2019.0,7950.0,18990.0,5.0,4.0,1,37.091,1.0,0,0,0,0,0,1,0,0,0,0
2019.0,1961.0,14000.0,5.0,5.0,1,32.6,1.0,0,0,0,1,0,0,0,0,0,0
2018.0,8.0,17990.0,5.0,5.0,1,36.191,1.0,0,0,0,0,0,1,0,0,0,0
2006.0,66000.0,975.0,5.0,5.0,2,99.5,4.0,0,0,1,0,0,0,0,0,0,0
2015.0,69619.0,19408.0,5.0,5.0,1,201.1931652770847,127.512373464041,0,1,0,0,0,0,0,0,0,0
